mass,efficiency rate
0.002,0.43020903573836816
0.0024,0.5096774193548387
0.0028,0.60714917713679
0.0033,0.6865403788634098
0.004,0.7616854708726687
0.0047,0.8383383383383384
0.0056,0.8988636363636363
0.0066,0.9263261296660118
0.0079,0.9500538986704995
0.0094,0.9756286266924564
0.0111,0.9847144006436042
0.0132,0.9925434962717481
0.0157,0.9923387096774193
0.0186,0.9965062111801242
0.0221,0.9992633517495396
0.0262,0.9987445072190835
0.0312,1.0
0.037,0.9997575757575757
0.0439,0.9995546648853262
0.0521,1.0
0.0619,0.9995339081799114
0.0735,0.9988845510317903
0.0872,1.0
0.1036,1.0
0.123,0.9985422740524781
0.146,1.0
0.1733,1.0
0.2057,1.0
